,title,price,link,image_url,Kilométrage,Couleur du véhicule,Etat du véhicule,Boite,Année,Cylindrée,Marque,Modèle,Puissance fiscale,Type de carrosserie,Carburant,Livraison,Cylindrée moto
487,ds7,96000,https://www.tayara.tn/fr/item/675c8adef39faeaa98b8bc53/Voitures/Ariana/Cit_Ennasr_2/ds7/,https://www.tayara.tn/mediaGateway/resize-image?img=f3/f3fc661d-38d0-4b26-b1a6-853253edafc6&w=300,83000,Noir,Avec kilométrage,Automatique,2020,1.4L,Citroen,DS,7,4 x 4,Diesel,,
488,HORS BORD,13500,https://www.tayara.tn/fr/item/675c879cf39faeaa98b8b692/Bateaux/Nabeul/Menzel_Bouzelfa/HORS_BORD/,https://www.tayara.tn/mediaGateway/resize-image?img=1a/1ad9f4c8-ba0c-4fff-bdf0-449db9694e84&w=300,,,,,,,,,,,,,
489,Golf 4,23500,https://www.tayara.tn/fr/item/675c8343f39faeaa98b8afe6/Voitures/Ariana/Jardins_El_Menzah/Golf_4_/,https://www.tayara.tn/mediaGateway/resize-image?img=41/411d358b-3945-4026-919b-c430928c3b7d&w=300,255.400,Noir,Nouveau,Manuelle,2002,1.4L,Volkswagen,Golf,5,Autres,Essence,,
490,kangoo 1 a avendre,12800,https://www.tayara.tn/fr/item/675b09a5b5e4ab395e790e7a/Voitures/Monastir/Monastir/kangoo_1_a_avendre/,https://www.tayara.tn/mediaGateway/resize-image?img=38/3865444a-e9ee-4f22-8dd9-8bfc4254e76c&w=300,228000,Blanc,Avec kilométrage,Manuelle,2002,1.9L,Renault,Kangoo,1.9,Autres,Diesel,,
491,بيع جرار فلاحي,65000,https://www.tayara.tn/fr/item/67597c658729cead59eaf22d/Engins%20Agricoles/Kasserine/Sbiba/_/,https://www.tayara.tn/mediaGateway/resize-image?img=8d/8dba6489-05a9-4694-89be-db9135c141c5&w=300,,,,,,,,,,,,,
492,MG HS,78000,https://www.tayara.tn/fr/item/67597b958729cead59eaf198/Voitures/Sousse/Sousse/MG_HS_/,https://www.tayara.tn/mediaGateway/resize-image?img=fd/fd95d67e-33d2-434a-bcb6-85c3c73c6597&w=300,100000,Noir,Avec kilométrage,Automatique,2020,1.5L,MG,HS,,4 x 4,Essence,,
493,KIA SPORTAGE,85000,https://www.tayara.tn/fr/item/67597a1e8729cead59eaf066/Voitures/Monastir/Ouerdanine/KIA_SPORTAGE/,https://www.tayara.tn/mediaGateway/resize-image?img=61/61263bd3-108b-46b7-9041-ab6115b44fcb&w=300,114000,Gris,Avec kilométrage,Automatique,2019,1.6L,Kia,Sportage,8,,Essence,,
494,voiture à vendre,97008408,https://www.tayara.tn/fr/item/6759731fb5e4ab395e780dfc/Voitures/Kasserine/Foussana/voiture_vendre_/,https://www.tayara.tn/mediaGateway/resize-image?img=23/23713171-b878-4935-8763-efe467715375&w=300,300.000,Jaune,Avec kilométrage,Manuelle,2015,1.9L,Peugeot,Partner,8,Utilitaire,Diesel,,
495,voiture ford fiesta,17500,https://www.tayara.tn/fr/item/67582d51b5e4ab395e774a3d/Voitures/Tunis/Sidi_Bou_Said/voiture_ford_fiesta_/,https://www.tayara.tn/mediaGateway/resize-image?img=3c/3c344f77-0c0d-46e0-9161-609ff1d052dc&w=300,200000,Blanc,Avec kilométrage,Manuelle,2015,1.4L,Ford,Fiesta,5,Compacte,Essence,,
496,Hyundai,35000,https://www.tayara.tn/fr/item/67a4b817ecbb2843cb4267f6/Voitures/Sfax/ROUTE_SALTANIA/Hyundai_/,https://www.tayara.tn/mediaGateway/resize-image?img=96/969bbcc2-5361-4348-be43-cb650b05e815&w=300,109000,Gris,Nouveau,Manuelle,2013,1.4L,Hyundai,Accent,6,Berline,Essence,,
497,"CHery TIGGO 2 
NUM : 27080077",41000,https://www.tayara.tn/fr/item/67a4b763ecbb2843cb426751/Voitures/Ben_Arous/Borj_Cedria/CHery_TIGGO_2_NUM_27080077/,https://www.tayara.tn/mediaGateway/resize-image?img=ab/ab50c34d-9b6e-4719-bf50-96b85756384c&w=300,110000,Orange,Nouveau,Manuelle,2021,1.5L,Chery,Tiggo,6,Compacte,Essence,,
498,Geely coolray 1er main age un an,65900,https://www.tayara.tn/fr/item/67a4b6ececbb2843cb4266ce/Voitures/Sousse/Sousse_Jawhara/Geely_coolray_1er_main_age_un_an/,https://www.tayara.tn/mediaGateway/resize-image?img=29/2980ccdb-4335-4509-99ec-245d122a2f1b&w=300,60000,Bleu,,Automatique,2023,1.5L,Geely,LC,10,Compacte,Essence,,
499,Clio,17000,https://www.tayara.tn/fr/item/67a4b578c7eb459fa8d844d2/Voitures/Siliana/Siliana/Clio/,https://www.tayara.tn/mediaGateway/resize-image?img=f4/f48b96ec-4353-48ec-a008-937ed327fb15&w=300,290000,Rouge,Avec kilométrage,Manuelle,19999,1.2L,Renault,Clio,4,Compacte,Essence,,
500,a vendre Opel corsa,11500,https://www.tayara.tn/fr/item/67a4b545ecbb2843cb426511/Voitures/Tunis/Ain_Zaghouen/a_vendre_Opel_corsa_/,https://www.tayara.tn/mediaGateway/resize-image?img=59/5913d507-3246-4be6-8250-6615900f6028&w=300,420000,Noir,Avec kilométrage,Manuelle,2000,1.1L,Opel,Corsa,4,Autres,Essence,,
501,Citroën jumbo,100000000,https://www.tayara.tn/fr/item/67a4b4e0c7eb459fa8d8444d/Voitures/Sousse/Kondar/Citron_jumbo_/,https://www.tayara.tn/mediaGateway/resize-image?img=17/171fbb84-9aaf-4947-813d-6e370a38b6d0&w=300,888,Jaune,Avec kilométrage,Manuelle,2007,>4.0L,Citroen,Jumpy,2007,Autres,Diesel,,
502,Mg3 en très bon état,34000,https://www.tayara.tn/fr/item/67a488efecbb2843cb423cd7/Voitures/Tunis/Cit_El_Khadra/Mg3_en_trs_bon_tat/,https://www.tayara.tn/mediaGateway/resize-image?img=ab/ab6dca24-43fc-464d-904f-371dd499fd81&w=300,141000,Rouge,Avec kilométrage,Manuelle,2017,1.5L,MG,3,6,Autres,Essence,,
503,Mercedes comme neuf,58000,https://www.tayara.tn/fr/item/67a488bec7eb459fa8d81cab/Voitures/Sfax/Sfax_Ville/Mercedes_comme_neuf_/,https://www.tayara.tn/mediaGateway/resize-image?img=3b/3bd2269c-dd54-4835-b674-f756c2d42429&w=300,220000,Blanc,Avec kilométrage,Automatique,2011,1.8L,Mercedes-Benz,Classe C,9,Berline,Essence,,
504,Peugeot partner,16500,https://www.tayara.tn/fr/item/67a488acc7eb459fa8d81c9d/Voitures/Monastir/Moknine/Peugeot_partner_/,https://www.tayara.tn/mediaGateway/resize-image?img=9e/9ec3a4f0-3d33-40b9-96dc-1dd1134ee3d5&w=300,300,Blanc,Avec kilométrage,Manuelle,2006,1.9L,Peugeot,Partner,1.9,Compacte,Diesel,,
505,"Hyundai i 10 
première main",44500,https://www.tayara.tn/fr/item/67a48869c7eb459fa8d81c66/Voitures/Ariana/La_Soukra/Hyundai_i_10_premire_main_/,https://www.tayara.tn/mediaGateway/resize-image?img=93/9325d15f-c27f-4d9e-a85e-eace2f9cbb2a&w=300,89500,Rouge,Nouveau,Manuelle,2021,1.2L,Hyundai,I 10,5,Compacte,Essence,,
506,mazda 6,50000,https://www.tayara.tn/fr/item/67a3e62becbb2843cb41f795/Voitures/Ben_Arous/Mgrine/mazda_6/,https://www.tayara.tn/mediaGateway/resize-image?img=6b/6bf3284f-7c60-494e-a4e3-085ca2e5dfa0&w=300,145000,Bleu,Nouveau,Automatique,2016,2.0L,Mazda,MX6,09,Berline,Essence,,
507,TIGGO3X TRANSFERT DOSSIER,25000,https://www.tayara.tn/fr/item/67a3e00becbb2843cb41ef4d/Voitures/Ariana/Ariana/TIGGO3X_TRANSFERT_DOSSIER_/,https://www.tayara.tn/mediaGateway/resize-image?img=49/49416f8e-c303-4ee9-b16a-9c731f5e701d&w=300,73000,Gris,Nouveau,Automatique,2023,<1.0L,Chery,Tiggo,6,4 x 4,Essence,,
508,A VENDRE MG GS PREMIERE MAIN,55000,https://www.tayara.tn/fr/item/67a32cececbb2843cb40b0c6/Voitures/Ariana/Ariana/A_VENDRE_MG_GS_PREMIERE_MAIN/,https://www.tayara.tn/mediaGateway/resize-image?img=40/40f753f1-ed5d-4a3d-a953-f5a89e728f6e&w=300,78900,Noir,Avec kilométrage,Automatique,2018,1.5L,MG,GT,9,Autres,Essence,,
509,"Citroën Berlingo B9 + Moteur Neuf ”Citroën Berlingo B9 1,6 HDi Diesel “",26200,https://www.tayara.tn/fr/item/67a329cdecbb2843cb40aaec/Voitures/Tunis/Ain_Zaghouen/Citron_Berlingo_B9_Moteur_Neuf_Citron_Berlingo_B9_16_HDi_Diesel/,https://www.tayara.tn/mediaGateway/resize-image?img=d2/d2325a93-8f92-416c-82be-82936fd1e8b5&w=300,247000,Autre,,Manuelle,2012,1.6L,Citroen,Berlingo,5,,Diesel,,
510,Kia Rio Sedan 1ere Main,36500,https://www.tayara.tn/fr/item/67a32897ecbb2843cb40a8ed/Voitures/Ben_Arous/Ben_Arous/Kia_Rio_Sedan_1ere_Main/,https://www.tayara.tn/mediaGateway/resize-image?img=bb/bba9220b-b6a0-465a-80c7-c647a2b5bc6e&w=300,132000,Marron,Nouveau,Manuelle,2014,1.2L,Kia,Rio,5,Berline,Essence,,
511,seat ibiza,51000,https://www.tayara.tn/fr/item/67a26f6becbb2843cb4016fc/Voitures/Tunis/Tunis/seat_ibiza/,https://www.tayara.tn/mediaGateway/resize-image?img=1f/1fc47460-2504-403e-98b2-b584f5dcfa1f&w=300,143000,Blanc,Avec kilométrage,Automatique,2019,1.4L,Seat,Ibiza,4,Autres,Essence,,
512,Hyundai Tucson 2021 en excellent état / prix légérement négociable,110000,https://www.tayara.tn/fr/item/679bdc74a487ea2259c1c90b/Voitures/Sousse/Sousse/Hyundai_Tucson_2021_en_excellent_tat_prix_lgrement_ngociable/,https://www.tayara.tn/mediaGateway/resize-image?img=f5/f5fcc50c-3f27-4e71-8401-804057dc741b&w=300,40000,Blanc,Avec kilométrage,Automatique,2021,1.6L,Hyundai,Tucson,7,,Hybride Diesel,,
513,haval jolion 1ere main,84000,https://www.tayara.tn/fr/item/67a268f5ecbb2843cb4009fe/Voitures/Ariana/Charguia_1/haval_jolion_1ere_main_/,https://www.tayara.tn/mediaGateway/resize-image?img=3c/3c735835-0f81-4a3d-a6d3-ab3afd4a4b8f&w=300,60000,Noir,Avec kilométrage,Automatique,2022,1.5L,Haval,jolion,9,4 x 4,Essence,,
514,hyundai grand  I10 High grade BVA 1ere main تسجيل أول,51000,https://www.tayara.tn/fr/item/67a26864ecbb2843cb4008e6/Voitures/Ariana/Chotrana_1/hyundai_grand_I10_High_grade_BVA_1ere_main_/,https://www.tayara.tn/mediaGateway/resize-image?img=b1/b11ea8a5-408a-48cf-95dd-8be72c729d0f&w=300,40000,Rouge,Avec kilométrage,Automatique,2022,1.2L,Hyundai,I 10,5,Compacte,Essence,,
515,ford fiesta titanium,32500,https://www.tayara.tn/fr/item/67a2093eecbb2843cb3f5fcd/Voitures/Tunis/El_Ouardia/ford_fiesta_titanium/,https://www.tayara.tn/mediaGateway/resize-image?img=37/37c26d18-945c-471b-a86d-204e76992bac&w=300,174000,Gris,Avec kilométrage,Manuelle,2015,>4.0L,Ford,Fiesta,5,Compacte,Essence,,
516,2010 AUDI A5 S-LINE BVA TOUT PANORAMIQUE,46000,https://www.tayara.tn/fr/item/67a207c8ecbb2843cb3f5d3c/Voitures/Tunis/La_Marsa/2010_AUDI_A5_SLINE_BVA_TOUT_PANORAMIQUE_/,https://www.tayara.tn/mediaGateway/resize-image?img=7f/7f31b0d7-0753-45a3-9324-a4bce72464d8&w=100&w=300,230000,Noir,Avec kilométrage,Automatique,2010,2.0L,Audi,A5,13,Compacte,Essence,,
517,Golf 7 restylee IQ Drive,72500,https://www.tayara.tn/fr/item/674779f23c20a99fb55aa3a0/Voitures/Kairouan/Kairouan_Nord/Golf_7_restylee_IQ_Drive/,https://www.tayara.tn/mediaGateway/resize-image?img=ee/ee45cdd9-012a-4655-b9e6-c4adbbaeb1f8&w=300,112000,Gris,Avec kilométrage,Manuelle,2019,<1.0L,Volkswagen,Golf,6,Compacte,Hybride essence,,
518,Citroen berlingo 5p TU247,74000,https://www.tayara.tn/fr/item/671c7da1fadab5dc3dde1d7e/Voitures/Kairouan/Kairouan/Citroen_berlingo_5p_TU247/,https://www.tayara.tn/mediaGateway/resize-image?img=9b/9ba09ac3-7659-4714-9deb-49b49a5933ae&w=300,140000,Blanc,Avec kilométrage,Manuelle,2020,1.5L,Citroen,Berlingo,5,Monospace,Diesel,,
519,Fiat 500c CABRIOLET TU245,58000,https://www.tayara.tn/fr/item/6783e4a07041684afec09e8b/Voitures/Kairouan/Kairouan/Fiat_500c_CABRIOLET_TU245/,https://www.tayara.tn/mediaGateway/resize-image?img=63/63335b9b-0295-4f4a-a1ea-aa405c1f390b&w=300,70000,Gris,Avec kilométrage,Manuelle,2020,<1.0L,Fiat,500C,5,Cabriolet,Essence,,
520,Vw Golf 7 restylee 1.4l,78000,https://www.tayara.tn/fr/item/67a1269ea487ea2259c4ecfd/Voitures/Kairouan/Kairouan/Vw_Golf_7_restylee_14l/,https://www.tayara.tn/mediaGateway/resize-image?img=08/0824d87f-f2dd-4b83-a063-979b522bc6e7&w=300,44000,Blanc,Avec kilométrage,Manuelle,2019,1.4L,Volkswagen,Golf 7,6,Compacte,Essence,,
521,Blw 116i Toit Panoramique,92000,https://www.tayara.tn/fr/item/67a124b76286c241457d6955/Voitures/Kairouan/Kairouan/Blw_116i_Toit_Panoramique_/,https://www.tayara.tn/mediaGateway/resize-image?img=48/487161b5-f8e5-43a6-8105-d3d10e4a2350&w=300,86000,Blanc,Avec kilométrage,Manuelle,2020,1.5L,BMW,Serie 1,8,Compacte,Essence,,
522,Kia sportage 1.7l diesel,82500,https://www.tayara.tn/fr/item/67a1297ba487ea2259c4f01a/Voitures/Kairouan/Kairouan/Kia_sportage_17l_diesel/,https://www.tayara.tn/mediaGateway/resize-image?img=a0/a0adb82b-cc13-41c4-acc5-ceec4609bb73&w=300,170000,Blanc,Avec kilométrage,Manuelle,2018,1.7L,Kia,Sportage,6,Monospace,Diesel,,
523,Porsche cayenne,90000,https://www.tayara.tn/fr/item/67a0e17c6286c241457d298e/Voitures/Tunis/Centre_Urbain_Nord/Porsche_cayenne_/,https://www.tayara.tn/mediaGateway/resize-image?img=e4/e439695d-8e87-4ebd-8c44-697d0f1af885&w=300,180000,Noir,,Automatique,2007,3.0L,Porsche,Cayenne,,Autres,Essence,,
524,Golf 6 1.2 tsi finition style à vendre,35500,https://www.tayara.tn/fr/item/67a0dfd7a487ea2259c4a899/Voitures/Tunis/Centre_Ville_Lafayette/Golf_6_12_tsi_finition_style_vendre/,https://www.tayara.tn/mediaGateway/resize-image?img=0d/0d4f24c8-210f-4c32-ae41-057080e35012&w=300,246000,Bleu,Avec kilométrage,Manuelle,2011,1.2L,Volkswagen,Golf 6,5,Compacte,Essence,,
525,Passat cc 1.8 TSI 2010 - 151000Klm - très propre,43000,https://www.tayara.tn/fr/item/67a098dd6286c241457cdec5/Voitures/Tunis/Alain_Savary/Passat_cc_18_TSI_2010_151000Klm_trs_propre/,https://www.tayara.tn/mediaGateway/resize-image?img=ff/ff48f1ae-38f3-4c08-b76b-e7be3ee70980&w=300,151000,Noir,Avec kilométrage,Automatique,2010,1.8L,Volkswagen,Passat,9,Berline,Essence,,
526,2021 RENAULT CLIO 4,41000,https://www.tayara.tn/fr/item/67a09844a487ea2259c45f67/Voitures/Tunis/Tunis/2021_RENAULT_CLIO_4_/,https://www.tayara.tn/mediaGateway/resize-image?img=7f/7f31b0d7-0753-45a3-9324-a4bce72464d8&w=100&w=300,87000,Bleu,Avec kilométrage,Manuelle,2021,<1.0L,Renault,Clio,5,Compacte,Essence,,
527,kia Rio coupé,123456,https://www.tayara.tn/fr/item/679fb2616286c241457c6a8a/Voitures/Monastir/Ksar_Hellal/kia_Rio_coup_/,https://www.tayara.tn/mediaGateway/resize-image?img=02/02130416-1d46-42d2-8304-382b335ba4ca&w=300,187300,Marron,Avec kilométrage,Manuelle,2014,1.2L,Kia,Rio,5,Berline,Essence,,
528,"ford fie
sta",26000,https://www.tayara.tn/fr/item/679fb22aa487ea2259c3ea7b/Voitures/Ariana/Jardins_El_Menzah/ford_fiesta/,https://www.tayara.tn/mediaGateway/resize-image?img=f7/f7a8c0fd-d4e7-4fbd-9b4e-ed3a19ad8274&w=300,260000,Gris,Avec kilométrage,Manuelle,2016,1.2L,Ford,Fiesta,5,Compacte,Essence,,
529,HOLF 7 1.6 TDI,75000,https://www.tayara.tn/fr/item/679fb0c1a487ea2259c3e933/Voitures/Ben_Arous/El_Mourouj_6/HOLF_7_16_TDI_/,https://www.tayara.tn/mediaGateway/resize-image?img=e7/e76d06a9-ae3f-4d29-9ac3-7893b62377c6&w=300,63000,Multicolore,Avec kilométrage,Manuelle,2019,1.6L,Volkswagen,Golf 7,6,Compacte,Diesel,,
530,Qashqai tekna+ 6ch 1.5 dci 2022 tu249 Gsm 50 353 790,89000,https://www.tayara.tn/fr/item/679faffaa487ea2259c3e85f/Voitures/Nabeul/Nabeul/Qashqai_tekna_6ch_15_dci_2022_tu249_Gsm_50_353_790_/,https://www.tayara.tn/mediaGateway/resize-image?img=db/dbdf87ab-7b05-4b7f-beb1-61a24029d7c5&w=300,105000,Noir,Nouveau,Manuelle,2022,1.5L,Nissan,Qashqai,6,Autres,Diesel,,
531,Belle voiture,33800,https://www.tayara.tn/fr/item/679f5491a487ea2259c3a0db/Voitures/Bja/Bja/Belle_voiture_/,https://www.tayara.tn/mediaGateway/resize-image?img=a0/a05f3abe-4a89-43fd-87ab-bc19176f89e3&w=300,65000,Noir,Nouveau,Manuelle,2021,1.2L,Nissan,Micra,5,Berline,Essence,,
532,golf 6 tdi premier main,39500,https://www.tayara.tn/fr/item/679f530aa487ea2259c39fb5/Voitures/Sfax/Route_Mehdia/golf_6_tdi_premier_main/,https://www.tayara.tn/mediaGateway/resize-image?img=6b/6be942e7-4c01-4299-9d5a-cf5fc3d8237e&w=300,249000,Noir,Nouveau,Manuelle,2012,1.6L,Volkswagen,Golf,5,Compacte,Diesel,,
533,Mahindra KUV 100 6+ À vendre,28000,https://www.tayara.tn/fr/item/679f5152a487ea2259c39e7c/Voitures/Sfax/Sfax_Ville/Mahindra_KUV_100_6_vendre/,https://www.tayara.tn/mediaGateway/resize-image?img=e9/e9984c4a-bcef-41b8-942b-ff530cc81870&w=300,79000,Rouge,Avec kilométrage,Manuelle,2019,1.2L,Mahindra,Hover,5,Compacte,Essence,,
534,Golf8 GTE 1.4 essence 4cylindre 245ch 2022 tu249 Gsm 50 353 790,115000,https://www.tayara.tn/fr/item/679f51276286c241457c1cb7/Voitures/Nabeul/Mrezga/Golf8_GTE_14_essence_4cylindre_245ch_2022_tu249_Gsm_50_353_790_/,https://www.tayara.tn/mediaGateway/resize-image?img=12/128ce140-fdef-4f15-aa72-daa41bdaf6b3&w=300,52000,Noir,Nouveau,Automatique,2022,1.4L,Volkswagen,Golf 8,8,Autres,Hybride essence,,
535,polo 8,56000,https://www.tayara.tn/fr/item/679e6824a487ea2259c3393b/Voitures/Tunis/Tunis/polo_8/,https://www.tayara.tn/mediaGateway/resize-image?img=fe/fed579ba-d3a4-4f52-a88f-f01b93df65c9&w=300,82000,Blanc,Avec kilométrage,Manuelle,2019,<1.0L,Volkswagen,Polo,4,Compacte,Essence,,
536,"vendre ou échange 
kia Sportage 4*4 2014 tout option",97110712,https://www.tayara.tn/fr/item/679e6503a487ea2259c336b2/Voitures/Ariana/Ariana/vendre_ou_change_kia_Sportage_44_2014_tout_option_/,https://www.tayara.tn/mediaGateway/resize-image?img=0a/0ad6273e-b5e3-40c0-a7f9-6e94054f9426&w=300,240,Bleu,Avec kilométrage,Automatique,2014,2.0L,Kia,Sportage,11,4 x 4,Diesel,,
537,mercedes,210000,https://www.tayara.tn/fr/item/679e62b7a487ea2259c334a1/Voitures/Nabeul/Nabeul/mercedes/,https://www.tayara.tn/mediaGateway/resize-image?img=92/92875fbf-5033-4d9c-a0b8-60be1f6df127&w=300,10000000181,Gris,Avec kilométrage,Manuelle,2001,1.4L,Mercedes-Benz,Classe E,7,Autres,Diesel,,
538,Seat ibiza,111111,https://www.tayara.tn/fr/item/679e62566286c241457bb228/Voitures/Sidi_Bouzid/Regueb/Seat_ibiza_/,https://www.tayara.tn/mediaGateway/resize-image?img=90/907bac2a-4ffc-4b71-848a-80ca3f8a6d7b&w=300,240,Gris,Avec kilométrage,Manuelle,2021,<1.0L,Seat,Ibiza,4,Berline,Essence,,
539,clio classique,22920204,https://www.tayara.tn/fr/item/679df58aa487ea2259c2def0/Voitures/Mdenine/Djerba_Ajim/clio_classique_/,https://www.tayara.tn/mediaGateway/resize-image?img=89/89ac2779-888c-41fb-9cf2-521533ec5b17&w=300,200,Blanc,Avec kilométrage,Manuelle,2005,1.4L,Renault,Clio,5,Autres,Essence,,
540,Renault Kadjar  A vendre,54900,https://www.tayara.tn/fr/item/679df3cb6286c241457b5ae9/Voitures/Ariana/Ghazela/Renault_Kadjar_A_vendre_/,https://www.tayara.tn/mediaGateway/resize-image?img=97/97707827-939f-4f62-8905-038cf427a6f3&w=300,270000,Blanc,Avec kilométrage,Manuelle,2016,1.6L,Renault,Kadjar,7,Compacte,Essence,,
541,a vendre 206plus télè:58705129,23000,https://www.tayara.tn/fr/item/679df3aca487ea2259c2dd50/Voitures/Gafsa/Gafsa_Sud/a_vendre_206plus_tl58705129/,https://www.tayara.tn/mediaGateway/resize-image?img=db/db9606a5-f622-4153-9d26-13b0fa542210&w=300,240,Gris,Avec kilométrage,Manuelle,2012,1.2L,Peugeot,206+,04,Berline,Essence,,
542,BMW 216D GRAN TOURER 7 PLACES 1ERE MAIN IMPORTÉE ETAT D'ORIGINE TEL 22801802,77500,https://www.tayara.tn/fr/item/679d0ddaa487ea2259c27539/Voitures/Ariana/Ennasr/BMW_216D_GRAN_TOURER_7_PLACES_1ERE_MAIN_IMPORTE_ETAT_DORIGINE_TEL_22801802/,https://www.tayara.tn/mediaGateway/resize-image?img=33/33d3a076-dbdf-422e-b6e5-eb40ff636914&w=300,139000,Gris,Avec kilométrage,Manuelle,2016,1.5L,BMW,Serie 2,6,Autres,Diesel,,
543,Mazda 3 a vendre,45000,https://www.tayara.tn/fr/item/679d0d50a487ea2259c274de/Voitures/Sfax/Route_Mehdia/Mazda_3_a_vendre/,https://www.tayara.tn/mediaGateway/resize-image?img=d6/d6f905ac-1075-4c5e-b63b-db25c943d0b0&w=300,130000,Blanc,Avec kilométrage,Manuelle,2018,1.5L,Mazda,3,5,Compacte,Essence,,
544,voiture MG GT,30000,https://www.tayara.tn/fr/item/679c8f78a487ea2259c20908/Voitures/Sousse/Khzema/voiture_MG_GT/,https://www.tayara.tn/mediaGateway/resize-image?img=23/236b2ff7-3014-422c-95d2-94c7b0e99d70&w=300,26000,Noir,Avec kilométrage,Automatique,082023,1.6L,MG,cedes-Benz.AMG GT,7,Berline,Essence,,
545,"jeep renegade longitude non accidenté
peinture d’origine",65000,https://www.tayara.tn/fr/item/679c8d37a487ea2259c20749/Voitures/Tunis/La_Marsa/jeep_renegade_longitude_non_accidentpeinture_dorigine_/,https://www.tayara.tn/mediaGateway/resize-image?img=46/46b7ed4f-10ba-4ae0-a979-f16181cfefd1&w=300,120000,Blanc,Avec kilométrage,Manuelle,2016,1.6L,Jeep,Wrangler,6,4 x 4,Essence,,
546,🚘 RENAULT CLIO 4 🚘,38500,https://www.tayara.tn/fr/item/677bd70ef39faeaa98ca62e4/Voitures/Ariana/La_Soukra/_RENAULT_CLIO_4_/,https://www.tayara.tn/mediaGateway/resize-image?img=ca/caa9d1a2-032e-4863-9b3b-56abf69f7d5f.jpg&w=100&w=300,130000,Noir,Nouveau,Manuelle,2020,1.2L,Renault,Clio,05,Berline,Essence,,
547,🚘 ford c _ Max 7 places,36000,https://www.tayara.tn/fr/item/679b954f6286c241457a0c16/Voitures/Ariana/Ghazela/_ford_c_Max_7_places/,https://www.tayara.tn/mediaGateway/resize-image?img=21/21db9476-bc94-4eba-8828-7bf7de278068&w=300,207000,Bleu,Avec kilométrage,Manuelle,2013,<1.0L,Ford,C-Max,5,Autres,Essence,,
548,🚘 Nissan juke,45000,https://www.tayara.tn/fr/item/679b947fa487ea2259c18d03/Voitures/Ariana/Ghazela/_Nissan_juke/,https://www.tayara.tn/mediaGateway/resize-image?img=92/92756c20-9197-48f1-9c87-35c050a02d32&w=300,190000,Rouge,Avec kilométrage,Automatique,2012,1.6L,Nissan,Juke,7,Autres,Essence,,
549,Grue,25000,https://www.tayara.tn/fr/item/679b931c6286c241457a09d1/Engins%20BTP/Sfax/Route_de_GABES/Grue/,https://www.tayara.tn/mediaGateway/resize-image?img=ba/baeb5f77-a426-4112-a787-29fb5adc9d48&w=300,,,,,,,,,,,,,
550,Mercedes classe A,92000,https://www.tayara.tn/fr/item/679b93016286c241457a09b7/Voitures/Tunis/El_Manar_1/Mercedes_classe_A/,https://www.tayara.tn/mediaGateway/resize-image?img=b9/b91bac9d-f1e9-4620-b6e8-b415156d4d16&w=300,132000,Blanc,Nouveau,Automatique,2018,2.0L,Mercedes-Benz,Classe A,5,Compacte,Diesel,,
551,Peugeot 207,57085604,https://www.tayara.tn/fr/item/679b92526286c241457a0912/Voitures/Le_Kef/Le_Kef/Peugeot_207/,https://www.tayara.tn/mediaGateway/resize-image?img=04/04cb0a75-93b4-4154-afb2-81fd5970e40b&w=300,270000,Autre,Avec kilométrage,Manuelle,2006,1.4L,Peugeot,207 SW,6,Autres,Essence,,
552,belle seltos,93000,https://www.tayara.tn/fr/item/679b29a8a487ea2259c12db8/Voitures/Sidi_Bouzid/Regueb/belle_seltos/,https://www.tayara.tn/mediaGateway/resize-image?img=5b/5bd84475-62dc-49db-9a50-42ed98e94704&w=300,143,,Avec kilométrage,Automatique,2021,1.6L,Kia,,8,,Essence,,
553,208 2017,27500,https://www.tayara.tn/fr/item/679b25a6a487ea2259c12bd8/Voitures/La_Manouba/Manouba_Ville/208_2017_/,https://www.tayara.tn/mediaGateway/resize-image?img=cb/cb13fb4d-5e0e-4640-a8ab-70c7a9fea5aa&w=300,70000,Blanc,Nouveau,Manuelle,2017,1.2L,Peugeot,208,5,Compacte,Essence,,
554,Peugeot bipper,20000,https://www.tayara.tn/fr/item/679a427d6286c241457936fe/Voitures/Ben_Arous/El_Mourouj/Peugeot_bipper_/,https://www.tayara.tn/mediaGateway/resize-image?img=f8/f8dae64e-3e42-4b1e-98e2-67d478e8e572&w=300,200,Blanc,Avec kilométrage,Manuelle,2015,1.4L,Peugeot,Bipper,6,Autres,Diesel,,
555,À vendre Peugeot toute option,26800,https://www.tayara.tn/fr/item/679a41166286c241457935a0/Voitures/Tunis/La_Marsa/_vendre_Peugeot_toute_option_/,https://www.tayara.tn/mediaGateway/resize-image?img=7c/7cbcee38-2b2a-4692-accd-55fdf0b6d5ef&w=300,160,Gris,Avec kilométrage,Manuelle,2017,,Peugeot,301,5,,,,
556,c3,43500,https://www.tayara.tn/fr/item/679a40f86286c24145793583/Voitures/Sousse/Hammam_Sousse/c3/,https://www.tayara.tn/mediaGateway/resize-image?img=49/49e1c834-c583-47bf-9d81-f83aeb8ab267&w=300,120000,Blanc,Avec kilométrage,Manuelle,2021,1.2L,Citroen,C3,4,Berline,Essence,,
